Italian,English
non,not
di,of
che,that
è,is
e,is
la,there
il,the
un,a
a,to
per,for
in,in
una,a
mi,me
sono,I'm
ho,I have
ma,but
l',L'
lo,the
ha,has
le,the
si,Yes
ti,you
i,the
con,with
cosa,thing
se,self
io,I
come,as
da,from
ci,us
no,no
questo,this
qui,here
e',is'
hai,you have
sei,six
del,of the
bene,good
tu,you
sì,Yup
me,myself
più,more
al,to the
mio,my
c',c '
perché,because
lei,she
solo,only
te,you
era,was
gli,the
tutto,all
della,of the
così,so
mia,my
ne,neither
questa,this
fare,do
quando,when
ora,Now
fatto,done
essere,to be
so,I know
mai,never
chi,who
o,or
alla,a
tutti,all
molto,very
dei,of
anche,also
detto,say
quello,one
va,it goes
niente,nothing
grazie,thanks
lui,he
voglio,I want
abbiamo,we have
stato,state
nel,in
suo,his
dove,where is it
posso,I can
oh,Oh
prima,before
allora,then
siamo,we are
d',d '
uno,one
un',a
sua,her
tuo,your
hanno,have
noi,we
sta,It is
fa,does
due,two
vuoi,do you want
ancora,yet
qualcosa,something
vero,true
casa,home
sia,be
su,up
tua,your
sempre,always
forse,perhaps
dire,to say
vi,you
loro,their
i',the'
altro,other
sai,you know
stai,are you
devo,I must
quella,that
vita,life
quel,that
delle,of the
tempo,time
andare,to go
certo,of course
poi,then
nella,in
uomo,man
signore,lord
ad,to
po',bit'
può,can he
credo,I think
voi,you
già,already
adesso,now
andiamo,here we go
anni,years
all',all '
visto,seen
fuori,out
proprio,own
parte,part
davvero,really
vuole,wants
li,there
dell',dell '
sto,I'm
quanto,how much
volta,time
via,Street
sul,on the
é,is
dio,God
sarà,Sara
dopo,after
senza,without
cose,what's this
nessuno,nobody
fai,do
giorno,day
ed,and
meglio,better
padre,father
puoi,you can
ciao,Hello
cos',cos'
devi,you have to
ecco,here
qualcuno,someone
dal,from
lavoro,work
sa,know
ai,to
vedere,to see
ogni,every
ii,ii
troppo,too much
posto,place
cui,which
tanto,much
male,bad
dai,come on
ce,there is
bisogno,need
signor,Mr
beh,Well
perchè,because
vieni,Come
alle,to
dalla,from
stata,was
tra,between
vai,Go
ehi,Hey
miei,my
amico,friend
dice,He says
sarebbe,would be
avete,you have
altra,other
deve,needs to
sulla,on
qualche,some
sembra,it seems
gente,people
dobbiamo,we have to
modo,way
tre,three
momento,moment
prego,You are welcome
parlare,speak
mamma,mom
guarda,look
signora,Mrs
grande,great
lì,there
madre,mother
possiamo,We can
avanti,forward
avere,to have
successo,success
ero,I was
donna,woman
nuovo,new
ah,ha
faccio,I do
aveva,had
nostro,our
degli,from
questi,these
siete,you are
forza,power
piace,like it
bella,beautiful
dov',Where '
soldi,money
avevo,I had
favore,favor
fosse,it were
altri,others
dispiace,sorry
subito,immediately
dentro,inside
oggi,today
accordo,agreement
tutta,all
faccia,face
nome,first name
ok,ok
notte,night
queste,these
figlio,son
mondo,world
nostra,our
sapere,know
vado,I go
tutte,all
aspetta,wait up
amare,to love
moglie,wife
sicuro,sure
suoi,its
penso,I think
paura,fear
idea,idea
testa,head
papà,Pope
giusto,quite right
eh,huh
vorrei,I would like to
senti,feeling
presto,soon
uomini,men
ll,The
basta,that's enough
potrebbe,could
stesso,same
avuto,had
porta,door
erano,were
stare,to stay
buona,good
quindi,therefore
farlo,to do it
appena,as soon as
abbia,has
ragione,reason
sentito,heard
ragazzi,boys
domani,tomorrow
ragazza,girl
ragazzo,boy
insieme,together
sotto,under
volevo,I wanted
pronto,ready
nei,in
ciò,it
volte,times
capito,I got it
succede,It happens
preso,taken
facendo,doing
piacere,pleasure
morto,dead
tuoi,your
capitano,captain
letto,bed
storia,history
caso,case
trovato,found
amici,friends
venire,to come
dico,I say
capisco,I see
problema,problem
fino,till
tipo,guy
là,there
qua,here
pensi,think
aver,having
giorni,days
cazzo,dick
okay,okay
nulla,nothing
bello,beautiful
persone,people
buon,good
terra,land
ia,ia
dato,given
secondo,second
film,movie
nell',in '
mano,but no
facciamo,let's make
vediamo,we see
vedo,I see
stanno,they are
avrei,I would have
prendere,to take
dici,you say
serve,need
morte,death
meno,less
città,city
occhi,eyes
fine,end
Sig.,Mr
ê,is
tesoro,treasure
scusi,sorry
primo,first
credi,believe
salve,Hello
nave,ship
stiamo,we are
sera,evening
piano,plan
sento,I hear
macchina,machine
vostro,your
mani,hands
neanche,neither
dall',dall '
dottore,doctor
quale,which
